,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
11127,Asia,Bachelor's,N,N,4990,2001,Northeast,132488.3,Year,Y,Certified
11128,Asia,Master's,N,N,704,2004,Northeast,127403.07,Year,N,Certified
11129,Asia,Bachelor's,Y,N,21,2000,West,76826.46,Year,Y,Denied
11130,Asia,High School,N,N,1382,1981,Northeast,85126.96,Week,Y,Denied
11131,Asia,Bachelor's,N,Y,1248,2010,South,67277.93,Year,Y,Certified
11132,Asia,Master's,N,N,768,1997,Midwest,114093.07,Year,Y,Certified
11133,Asia,Bachelor's,N,N,392,1975,Midwest,151161.36,Year,Y,Certified
11134,Asia,Master's,N,N,533,2007,Midwest,74506.35,Year,Y,Certified
11135,Asia,Bachelor's,Y,Y,3494,1977,Northeast,65972.28,Year,Y,Certified
11136,Europe,Doctorate,Y,N,87,2008,South,1670.31,Year,Y,Certified
11137,Asia,Bachelor's,Y,N,327,2008,South,137841.21,Year,Y,Denied
11138,Asia,High School,N,N,2141,2000,Island,115.91,Hour,Y,Denied
11139,Europe,Bachelor's,Y,N,2459,1975,South,154676.05,Year,N,Certified
11140,Europe,Doctorate,N,N,483,1928,Midwest,10719.6,Year,Y,Certified
11141,Asia,Master's,N,N,13572,1947,West,97113.76,Year,Y,Denied
11142,Asia,Bachelor's,Y,N,3233,1994,Northeast,76233.53,Year,Y,Certified
11143,Asia,Bachelor's,Y,N,3907,2011,West,124798.99,Year,Y,Certified
11144,Asia,Bachelor's,Y,N,1604,2000,West,120687.37,Year,Y,Certified
11145,Asia,Bachelor's,Y,N,1868,1977,South,77269.15,Year,Y,Certified
11146,Asia,Master's,Y,N,163,2000,Northeast,54620.95,Year,Y,Certified
11147,Asia,Doctorate,N,N,3446,1902,Northeast,19796.55,Year,Y,Certified
11148,Asia,Bachelor's,N,N,1351,1997,Midwest,89228.61,Year,Y,Certified
11149,Asia,Bachelor's,Y,Y,149,2000,South,109057.27,Year,Y,Denied
11150,Europe,Master's,N,N,3718,1997,West,69024.54,Year,Y,Certified
11151,Asia,Bachelor's,Y,N,4463,1989,South,187052.55,Year,Y,Certified
11152,Asia,Doctorate,N,N,768,2010,West,82677.17,Year,Y,Certified
11153,Europe,Bachelor's,Y,N,655,1914,West,294.402,Hour,Y,Denied
11154,Africa,Master's,N,N,2910,1911,Midwest,12404.7,Year,Y,Certified
11155,Europe,Bachelor's,Y,N,1729,1998,Northeast,119477.77,Year,Y,Certified
11156,Asia,Master's,Y,N,1763,1920,Midwest,14745.12,Year,Y,Certified
11157,Asia,Master's,N,N,171,2014,Northeast,591.2167,Hour,Y,Denied
11158,Asia,High School,N,N,3107,1841,Island,154.1,Hour,Y,Denied
11159,Asia,Bachelor's,Y,N,721,1997,West,112224.51,Year,Y,Certified
11160,Asia,Master's,Y,N,11859,1979,Island,106146.33,Year,Y,Certified
11161,Asia,Bachelor's,N,N,3100,1976,West,115269.43,Year,Y,Certified
11162,Europe,Bachelor's,Y,N,3253,2001,West,4882.17,Year,Y,Certified
11163,Asia,High School,Y,N,1723,1968,South,28301.07,Year,Y,Denied
11164,Oceania,Bachelor's,N,N,872,1819,Northeast,553.2211,Hour,Y,Certified
11165,Asia,Bachelor's,N,N,429,2006,Northeast,140684.51,Year,Y,Certified
11166,Asia,Bachelor's,Y,N,5670,2003,West,101125.76,Year,Y,Denied
11167,Asia,Bachelor's,Y,N,3269,1999,Midwest,131162.72,Year,Y,Certified
11168,Asia,Master's,Y,N,5337,2007,South,98271.46,Year,N,Certified
11169,Oceania,Master's,Y,N,3714,1968,Midwest,155754.11,Year,N,Denied
11170,Asia,Master's,N,N,1151,2011,Northeast,143835.92,Year,N,Certified
11171,Asia,Master's,Y,N,15325,1968,South,170255.29,Year,N,Denied
11172,Asia,Doctorate,Y,N,1102,2010,Northeast,91557.89,Year,Y,Certified
11173,Asia,Master's,N,N,8280,1998,West,103.64,Hour,Y,Denied
11174,Europe,High School,Y,N,838,1901,South,110435.59,Year,Y,Denied
11175,North America,High School,N,N,2234,1998,Northeast,2875.23,Year,Y,Denied
11176,North America,Bachelor's,Y,N,4527,1997,Midwest,51306.59,Year,Y,Denied
11177,Asia,Master's,Y,N,2085,1947,Midwest,82971.81,Year,N,Certified
11178,South America,Master's,Y,N,1227,1999,South,31327.98,Year,Y,Certified
11179,Asia,Bachelor's,Y,N,2556,1992,Island,51775.82,Year,Y,Certified
11180,Asia,Master's,Y,N,3674,1998,Midwest,42740.12,Year,Y,Certified
11181,Asia,Bachelor's,N,N,1315,1999,South,21691.27,Year,Y,Certified
11182,Asia,Bachelor's,Y,N,4422,2013,West,89421.2,Year,Y,Denied
11183,Europe,Master's,N,N,1255,2005,West,105691.4,Year,Y,Denied
11184,Asia,Master's,Y,N,755,1912,South,77724.8,Year,Y,Certified
11185,Asia,Bachelor's,N,N,1824,1939,West,88678.65,Year,Y,Denied
11186,Asia,Bachelor's,Y,N,3764,1911,West,61119.96,Year,Y,Certified
11187,Asia,Master's,Y,N,19230,2010,Midwest,89027.32,Year,Y,Certified
11188,Asia,Bachelor's,Y,N,1295,1998,Northeast,31706.19,Year,Y,Denied
11189,Asia,Bachelor's,N,Y,819,1997,South,85598.66,Year,Y,Certified
11190,Asia,Bachelor's,Y,N,4091,1909,Northeast,121202.42,Year,N,Certified
11191,Asia,Master's,Y,N,3840,2007,South,98275.01,Year,N,Certified
11192,Asia,Bachelor's,N,N,344,1996,South,21455.51,Year,Y,Certified
11193,Asia,Bachelor's,Y,N,1732,1998,Northeast,68763.28,Year,Y,Certified
11194,Asia,Master's,Y,N,1980,1995,South,63845.36,Year,Y,Certified
11195,Europe,Doctorate,Y,N,927,1894,West,41512.53,Year,Y,Certified
11196,Asia,Master's,Y,N,4120,2008,Midwest,43412.68,Year,Y,Certified
11197,Asia,Bachelor's,N,Y,2585,1886,Midwest,88224.01,Year,Y,Denied
11198,Asia,Master's,Y,N,1148,2010,Northeast,10194.35,Year,Y,Certified
11199,Asia,Master's,N,N,317150,2001,South,9580.71,Year,Y,Certified
11200,Europe,Bachelor's,N,N,2836,2002,South,82560.28,Year,Y,Certified
11201,Europe,Doctorate,N,N,1306,1864,Northeast,55.7084,Hour,Y,Certified
11202,Asia,Bachelor's,Y,N,317,2013,Northeast,55888.1,Year,Y,Denied
11203,Asia,Master's,N,N,2835,2003,South,109765.53,Year,N,Certified
11204,Asia,Master's,Y,N,3924,1991,South,58411.82,Year,Y,Certified
11205,Asia,Bachelor's,N,N,391,1969,West,72497.3,Year,Y,Certified
11206,Asia,Master's,Y,N,439,2000,Midwest,171777.29,Year,Y,Certified
11207,Asia,Master's,N,Y,1910,1998,West,155887.18,Year,Y,Certified
11208,Asia,Master's,Y,N,4522,2009,Northeast,4978.95,Year,Y,Certified
11209,Asia,Bachelor's,Y,Y,1652,2012,South,4877.78,Year,Y,Denied
11210,Asia,Master's,Y,N,133132,1855,Northeast,120324.27,Year,Y,Certified
11211,Asia,Bachelor's,Y,N,3235,1872,Midwest,107563.55,Year,Y,Certified
11212,Asia,Master's,N,N,1869,1958,West,40338.72,Year,Y,Certified
11213,Asia,Master's,Y,N,1161,2010,Northeast,358.263,Hour,Y,Certified
11214,Asia,Doctorate,N,N,1171,1920,Midwest,83189.16,Year,Y,Certified
11215,Asia,Master's,Y,N,4152,1891,West,101.71,Hour,Y,Certified
11216,Asia,Master's,N,N,209,1993,Northeast,182853.58,Year,Y,Denied
11217,Europe,Bachelor's,N,N,4334,2012,Northeast,25997.89,Year,Y,Certified
11218,Asia,Master's,Y,Y,2788,1889,Island,109337.92,Year,Y,Certified
11219,Europe,Bachelor's,Y,N,4711,2007,West,47353.13,Year,Y,Denied
11220,North America,Master's,Y,N,2147,2011,Midwest,148755.52,Year,Y,Certified
11221,Europe,Bachelor's,N,N,2674,1854,West,57862.23,Year,Y,Denied
11222,North America,Doctorate,N,Y,4507,1954,Northeast,106203.55,Year,Y,Certified
11223,Asia,High School,N,N,1999,1919,South,43084.33,Year,Y,Denied
11224,North America,Master's,Y,N,3639,2006,Midwest,42138.36,Year,Y,Certified
11225,Asia,Master's,Y,N,636,2006,Midwest,135054.41,Year,Y,Certified
11226,North America,Master's,Y,N,1502,1977,Northeast,31074.24,Year,Y,Certified
11227,Asia,High School,N,N,1341,2009,West,458.5898,Hour,Y,Denied
11228,Europe,Bachelor's,Y,Y,2030,1997,South,222276.55,Year,Y,Certified
11229,Asia,Bachelor's,N,N,242,1962,Midwest,48729.55,Year,Y,Denied
11230,Asia,Master's,Y,N,4222,1885,West,49074.18,Year,Y,Certified
11231,North America,Master's,N,N,593,1838,West,167.9464,Hour,Y,Denied
11232,Asia,High School,Y,N,3690,1989,Northeast,10886.32,Year,Y,Denied
11233,Asia,Bachelor's,Y,N,653,1911,West,35005.09,Year,Y,Certified
11234,Asia,Master's,N,N,2237,1989,Midwest,106140.97,Year,Y,Certified
11235,Asia,Bachelor's,N,Y,764,2002,Northeast,77558.24,Year,Y,Certified
11236,North America,Bachelor's,Y,N,836,2003,Northeast,23637.85,Year,Y,Certified
11237,Asia,Bachelor's,Y,N,1642,1996,Northeast,149550.35,Year,Y,Certified
11238,Europe,Bachelor's,Y,Y,3181,1945,West,72488.92,Year,Y,Certified
11239,Asia,Bachelor's,Y,N,4984,2010,Northeast,165751.92,Year,Y,Denied
11240,Asia,Master's,Y,N,2861,2014,West,52770.54,Year,Y,Certified
11241,Africa,Master's,Y,N,118278,1975,West,82761.01,Year,Y,Certified
11242,Asia,Bachelor's,Y,N,236,1998,Northeast,43351.06,Year,Y,Denied
11243,Asia,Doctorate,N,N,3361,2003,South,369.6246,Hour,Y,Certified
11244,Asia,Master's,N,N,14581,1975,West,33269.74,Year,Y,Denied
11245,Europe,High School,Y,N,4490,1979,West,19992.12,Year,Y,Denied
11246,Asia,Master's,Y,N,673,2006,Midwest,99938.21,Year,Y,Certified
11247,Asia,Bachelor's,Y,N,4389,1855,Midwest,67132.25,Year,Y,Certified
11248,Asia,Bachelor's,N,N,4929,1988,South,73837.3,Year,Y,Denied
11249,North America,Master's,N,N,3018,1950,Midwest,589.9443,Hour,Y,Denied
11250,Europe,Bachelor's,N,Y,4823,1985,Northeast,30770.16,Year,Y,Certified
11251,North America,Bachelor's,Y,N,1062,1980,Midwest,8932.55,Year,Y,Certified
11252,North America,Master's,N,N,866,2010,South,40224.34,Year,Y,Certified
11253,Asia,Master's,N,N,725,2005,South,22518.04,Year,Y,Certified
11254,Europe,Master's,N,N,81,1982,West,100195.89,Year,Y,Certified
11255,Europe,Master's,Y,N,1599,1819,West,78197.33,Year,Y,Certified
11256,North America,Bachelor's,N,N,2206,2004,South,91714.57,Year,N,Denied
11257,Europe,Doctorate,Y,N,4249,2014,Northeast,12299.95,Year,Y,Certified
11258,Asia,High School,Y,N,1798,1993,South,76845.5,Year,Y,Denied
11259,Asia,Bachelor's,Y,N,1586,1954,Northeast,31054.87,Year,Y,Denied
11260,Asia,Master's,Y,N,3785,1838,South,155577.64,Year,N,Certified
11261,North America,Bachelor's,N,N,5227,1817,Northeast,102.94,Hour,Y,Denied
11262,Asia,Doctorate,Y,N,2079,1977,South,20193.89,Year,Y,Certified
11263,Asia,High School,Y,N,1717,1991,South,227.7353,Hour,Y,Denied
11264,Europe,Master's,N,N,1260,1977,Northeast,125796.3,Year,N,Certified
11265,Asia,Master's,Y,N,1773,2014,Midwest,31753.57,Year,Y,Certified
11266,Europe,Master's,N,N,904,1979,Northeast,586.7939,Hour,Y,Denied
11267,Asia,Bachelor's,Y,N,2629,1998,Northeast,40864.73,Year,Y,Certified
11268,Asia,Master's,Y,Y,653,1939,Northeast,35054.7,Year,Y,Certified
11269,Asia,Doctorate,N,N,3433,1982,Northeast,105802.25,Year,Y,Certified
11270,Asia,Bachelor's,N,N,3963,1988,Northeast,72290.58,Year,N,Denied
11271,Asia,Bachelor's,N,N,4152,1978,West,69518.9,Year,Y,Certified
11272,Asia,Bachelor's,N,Y,280,1975,West,1066.19,Year,Y,Certified
11273,Asia,Master's,Y,N,2473,1999,West,104312.06,Year,Y,Certified
11274,Asia,Doctorate,N,Y,2854,1895,Midwest,112127.47,Year,Y,Certified
11275,Asia,High School,Y,N,5369,1999,Northeast,50202.73,Year,Y,Denied
11276,North America,Bachelor's,N,N,2979,1998,Northeast,86665.46,Year,N,Denied
11277,Asia,Master's,Y,N,2748,1941,West,15335.44,Year,Y,Certified
11278,Asia,Master's,N,N,2453,1997,South,88831.1,Year,Y,Denied
11279,North America,Master's,Y,N,2996,1994,West,105024.69,Year,Y,Denied
11280,South America,Bachelor's,Y,N,1302,1973,South,367.6747,Hour,Y,Denied
11281,Europe,Master's,Y,N,5405,1999,Northeast,93747.83,Year,N,Certified
11282,Asia,Bachelor's,Y,N,1841,2003,Northeast,771.2467,Hour,Y,Denied
11283,Asia,Bachelor's,N,N,1596,2005,Midwest,119308.95,Year,Y,Certified
11284,Asia,High School,Y,N,59391,1998,South,108447.77,Year,Y,Denied
11285,Europe,Doctorate,N,N,4081,1970,West,50577.52,Year,Y,Certified
11286,Asia,Master's,N,N,1123,2009,South,104.85,Hour,Y,Denied
11287,Europe,Master's,Y,Y,2543,1979,West,44082.61,Year,Y,Certified
11288,Asia,Bachelor's,N,N,3571,2004,Midwest,60766.49,Year,Y,Certified
11289,Asia,Master's,Y,N,4330,2011,West,51035.33,Year,Y,Certified
11290,Asia,Master's,Y,N,621,1985,Midwest,100448.17,Year,Y,Certified
11291,Asia,Master's,N,N,2058,1855,South,125473.59,Year,Y,Denied
11292,Asia,Bachelor's,Y,N,4682,2005,West,48990.93,Year,Y,Certified
11293,Europe,Doctorate,N,N,2036,2013,West,115933.41,Year,Y,Certified
11294,North America,Bachelor's,N,N,3048,2006,West,114991.22,Year,Y,Denied
11295,North America,Bachelor's,N,Y,4941,2007,South,115.78,Hour,Y,Denied
11296,Asia,Master's,Y,N,2387,2007,Midwest,19467.21,Year,Y,Certified
11297,North America,Bachelor's,N,N,3581,2009,West,8431.26,Year,Y,Certified
11298,Europe,Master's,N,N,1016,1992,South,68818.62,Year,Y,Certified
11299,Asia,High School,Y,N,3763,2004,West,157559.04,Year,Y,Denied
11300,Europe,Bachelor's,Y,N,1566,2006,West,12956.83,Year,Y,Certified
11301,Africa,Master's,N,N,2570,1973,South,133552.89,Year,Y,Certified
11302,Asia,Bachelor's,N,N,4498,2008,South,273009.56,Year,Y,Certified
11303,Asia,Master's,N,N,3365,1995,Northeast,89880.37,Year,N,Denied
11304,South America,Bachelor's,N,N,1756,1991,South,546.5987,Hour,Y,Certified
11305,North America,Master's,N,N,4349,1986,Northeast,893.756,Hour,Y,Certified
11306,Asia,Bachelor's,Y,N,2421,1998,South,51327.8,Year,Y,Certified
11307,Asia,Bachelor's,N,N,1491,2001,South,948.0337,Hour,Y,Denied
11308,Asia,Bachelor's,N,N,1362,2002,West,74251.37,Year,Y,Denied
11309,Europe,Bachelor's,Y,N,522,1999,South,99323.3,Year,N,Certified
11310,Asia,Bachelor's,N,Y,179,2010,South,85510.91,Year,Y,Certified
11311,Asia,Master's,Y,N,5956,2006,Midwest,131765.12,Year,N,Denied
11312,Asia,Master's,Y,N,1834,1995,South,832.6108,Hour,Y,Certified
11313,Asia,Master's,Y,N,1605,2012,Northeast,38500.66,Year,Y,Certified
11314,Asia,Bachelor's,N,N,2393,1982,Northeast,66989.76,Year,N,Denied
11315,Asia,Bachelor's,Y,N,899,1994,West,30271.57,Year,Y,Certified
11316,Asia,Bachelor's,Y,N,28,2002,West,25809.59,Year,Y,Denied
11317,Asia,Master's,N,N,579004,1969,South,103507.01,Year,N,Certified
11318,Asia,Master's,Y,N,4335,2015,West,88641.0,Year,Y,Certified
11319,North America,Master's,Y,N,6170,1997,Northeast,36051.4,Year,Y,Certified
11320,Africa,High School,Y,N,772,1986,Northeast,52696.67,Year,Y,Denied
11321,Europe,Bachelor's,Y,N,1479,1949,South,73.924,Hour,Y,Denied
11322,Asia,Master's,N,N,127,1902,South,118955.57,Year,N,Certified
11323,Asia,Master's,N,N,796,1906,Northeast,84587.92,Year,Y,Certified
11324,Asia,Bachelor's,Y,N,2812,1979,South,15685.78,Year,Y,Certified
11325,Europe,Doctorate,Y,N,751,1977,Midwest,26434.64,Year,Y,Certified
11326,Europe,Master's,N,N,3431,1912,West,53512.88,Year,Y,Denied
11327,North America,Master's,N,N,1649,1981,West,519.1258,Hour,Y,Denied
11328,Asia,Bachelor's,Y,N,1843,1997,Northeast,36948.39,Year,Y,Certified
11329,Europe,Doctorate,N,N,1760,2001,Northeast,55614.04,Year,Y,Certified
11330,Africa,Master's,N,Y,9151,1895,South,80026.48,Year,Y,Certified
11331,Europe,Doctorate,Y,N,907,1970,South,61999.27,Year,Y,Certified
11332,Europe,High School,Y,Y,1065,2007,South,103429.27,Year,Y,Denied
11333,Asia,Master's,Y,N,1830,2013,Midwest,83343.92,Year,Y,Certified
11334,Asia,High School,Y,N,27863,2006,South,72162.14,Year,Y,Denied
11335,South America,Bachelor's,Y,Y,161,1957,Northeast,116.0,Hour,Y,Denied
11336,South America,Doctorate,Y,Y,2339,2008,South,95988.21,Year,Y,Certified
11337,Asia,Bachelor's,N,N,892,1987,Midwest,129640.76,Year,Y,Certified
11338,Europe,Master's,Y,N,735,2005,Northeast,19960.61,Year,Y,Certified
11339,Asia,Master's,N,N,37938,2013,West,27684.86,Year,Y,Certified
11340,Asia,High School,Y,N,40331,1968,South,92949.13,Year,Y,Denied
11341,Oceania,Bachelor's,Y,N,2244,1994,South,86803.98,Year,N,Certified
11342,Asia,Bachelor's,Y,N,718,1968,West,82023.65,Year,Y,Denied
11343,North America,Bachelor's,Y,N,18109,1819,Island,122896.09,Year,Y,Denied
11344,Asia,Master's,N,N,2116,2005,South,60862.94,Year,Y,Certified
11345,Europe,Master's,Y,N,3481,2005,West,118633.87,Year,Y,Certified
11346,Asia,Master's,Y,N,3519,2004,West,7315.4,Year,Y,Certified
11347,Africa,Master's,Y,N,5000,1962,Midwest,86197.96,Year,Y,Certified
11348,Asia,Bachelor's,Y,N,3750,1997,Northeast,29544.2,Year,Y,Certified
11349,Asia,High School,N,N,3130,1999,West,43496.59,Year,Y,Denied
11350,South America,Master's,Y,Y,386,1999,Northeast,11452.73,Year,Y,Denied
11351,North America,Bachelor's,Y,N,108596,2009,South,76800.44,Year,Y,Certified
11352,Asia,Master's,N,N,534,2012,South,135067.59,Year,N,Certified
11353,North America,Master's,Y,N,13790,1998,Northeast,17856.49,Year,Y,Certified
11354,Asia,Bachelor's,N,N,1838,2005,West,115373.64,Year,Y,Certified
11355,Asia,Master's,Y,N,3098,1994,Midwest,29442.45,Year,Y,Certified
11356,Asia,Bachelor's,N,N,4926,2008,South,41642.75,Year,Y,Denied
11357,Asia,Master's,N,N,3494,1925,Midwest,84737.11,Year,Y,Denied
11358,Asia,Master's,Y,N,2680,1892,South,468.4167,Hour,Y,Certified
11359,Asia,Master's,N,N,2080,2004,Midwest,135248.19,Year,Y,Certified
11360,Asia,Master's,N,N,2771,1961,Northeast,128983.47,Year,N,Certified
11361,Asia,Bachelor's,Y,N,739,1810,Midwest,204806.0,Year,Y,Certified
11362,Europe,Master's,Y,N,2083,2005,Midwest,97825.11,Year,Y,Certified
11363,Asia,Master's,Y,N,1838,1917,Northeast,238662.95,Year,Y,Certified
11364,Asia,Bachelor's,Y,N,2064,1847,South,189.0481,Hour,Y,Denied
11365,Asia,Master's,N,N,3292,2005,Midwest,99628.93,Year,Y,Certified
11366,Europe,High School,N,N,2863,1981,West,16202.09,Year,Y,Denied
11367,Asia,High School,Y,N,827,1956,South,62752.72,Year,Y,Denied
11368,Asia,Bachelor's,N,N,3924,2004,West,52687.18,Year,Y,Denied
11369,Europe,Doctorate,N,Y,2831,2008,South,2352.15,Year,Y,Certified
11370,Europe,Bachelor's,N,N,3350,2008,Northeast,127065.45,Year,Y,Certified
11371,Asia,High School,N,N,3190,2012,West,58762.91,Year,Y,Denied
11372,Asia,Bachelor's,Y,N,1771,1934,Northeast,49262.75,Year,Y,Certified
11373,Asia,Master's,N,N,585,1986,Midwest,156304.54,Year,Y,Certified
11374,Asia,Master's,N,N,1703,2003,Midwest,122260.05,Year,Y,Certified
11375,Europe,Doctorate,N,N,4595,1999,Northeast,17176.81,Year,Y,Certified
11376,North America,Master's,N,N,945,2002,Northeast,198044.04,Year,N,Certified
11377,North America,Master's,Y,N,3529,2001,West,39639.59,Year,Y,Certified
11378,Asia,Master's,Y,N,3314,1999,Midwest,113990.77,Year,Y,Certified
11379,Asia,High School,Y,N,4446,2000,Northeast,57966.03,Year,Y,Denied
11380,North America,Bachelor's,Y,N,662,1999,Northeast,129670.44,Year,Y,Denied
11381,South America,Master's,Y,N,298,1973,West,14482.79,Year,Y,Certified
11382,Asia,Master's,N,N,1063,1985,West,212575.95,Year,Y,Denied
11383,North America,Master's,Y,N,4885,2000,West,61184.07,Year,Y,Denied
11384,Asia,Bachelor's,Y,N,4720,2000,West,89685.09,Year,Y,Certified
11385,Asia,Bachelor's,N,N,376,1959,South,127491.16,Year,N,Certified
11386,Asia,Master's,N,Y,2373,2006,West,3567.48,Year,Y,Certified
11387,Europe,High School,Y,N,3255,1869,West,49322.27,Year,Y,Denied
11388,Asia,Master's,N,Y,1680,1991,West,102710.73,Year,Y,Certified
11389,Asia,Bachelor's,Y,N,19526,1998,South,18133.73,Year,Y,Denied
11390,Europe,Doctorate,N,N,1163,1968,South,4639.64,Year,Y,Certified
11391,Africa,Master's,N,N,155,2001,West,9448.28,Year,Y,Certified
11392,Asia,Master's,Y,N,6394,1979,Northeast,43370.89,Year,Y,Certified
11393,North America,Bachelor's,Y,N,313,2004,Northeast,14292.34,Year,Y,Certified
11394,Asia,Bachelor's,Y,Y,666,2010,West,40358.96,Year,Y,Certified
11395,Asia,Bachelor's,N,Y,3222,2000,South,144728.15,Year,Y,Certified
11396,Asia,Bachelor's,Y,N,2890,1984,South,18754.88,Year,Y,Certified
11397,Africa,Master's,N,N,4779,2006,West,70506.16,Year,Y,Certified
11398,Asia,Bachelor's,Y,N,3100,1997,Midwest,58574.89,Year,N,Certified
11399,Asia,Bachelor's,Y,N,791,1838,West,60113.44,Year,Y,Denied
11400,North America,Bachelor's,Y,N,796,1938,South,689.3365,Hour,Y,Denied
11401,North America,Bachelor's,Y,N,70050,1867,South,68174.39,Year,Y,Denied
11402,Asia,Bachelor's,Y,N,3051,2001,West,63904.2,Year,Y,Certified
11403,Africa,Master's,Y,N,4103,2005,South,99127.74,Year,Y,Certified
11404,South America,Bachelor's,N,N,2512,2010,Midwest,86152.4,Year,Y,Certified
11405,Asia,Master's,Y,N,3910,2006,Northeast,100909.11,Year,Y,Certified
11406,Europe,Bachelor's,N,N,2629,2004,West,105823.23,Year,Y,Certified
11407,North America,Master's,N,N,14360,1987,Island,133404.82,Year,Y,Denied
11408,Asia,Doctorate,Y,Y,179,1872,Northeast,24598.08,Year,Y,Certified
11409,North America,Bachelor's,N,N,171,2004,South,158041.96,Year,Y,Denied
11410,Asia,Bachelor's,Y,N,1453,1976,West,165365.56,Year,Y,Denied
11411,Europe,Master's,Y,N,5686,1989,Northeast,39734.5,Year,Y,Certified
11412,Asia,Master's,Y,N,1246,2011,South,87639.63,Year,Y,Certified
11413,Asia,Bachelor's,Y,N,2458,2010,South,22812.27,Year,Y,Certified
11414,North America,Master's,N,N,618,1945,South,65971.41,Week,Y,Denied
11415,Asia,Master's,Y,N,1925,1972,South,111123.75,Year,Y,Certified
11416,Asia,Master's,N,N,2754,1997,South,121213.05,Year,Y,Certified
11417,Asia,Master's,Y,N,4779,1997,South,171128.69,Year,N,Certified
11418,Europe,Master's,N,N,1993,2008,Midwest,55665.53,Year,Y,Certified
11419,Africa,Bachelor's,Y,N,1605,1947,Northeast,208169.03,Year,Y,Denied
11420,Asia,Bachelor's,Y,N,735,2007,Northeast,78248.32,Year,Y,Certified
11421,Asia,High School,Y,N,988,1963,South,120960.98,Year,Y,Denied
11422,North America,High School,N,Y,1832,1855,Midwest,120253.81,Year,Y,Denied
11423,South America,Bachelor's,N,N,1900,2001,South,112556.69,Year,Y,Denied
11424,North America,High School,Y,N,5990,2006,West,87312.49,Year,Y,Denied
11425,Asia,Master's,N,N,1447,1999,West,212950.63,Year,N,Certified
11426,Asia,Master's,Y,N,1764,2010,South,60119.93,Year,Y,Certified
11427,Europe,Master's,N,N,4106,1902,South,126.28,Year,Y,Certified
11428,North America,Bachelor's,Y,N,2683,2007,Northeast,98593.73,Year,Y,Denied
11429,Europe,Master's,Y,N,1101,1996,South,52128.46,Year,Y,Certified
11430,Asia,High School,N,N,1193,2003,Midwest,111.42,Hour,Y,Denied
11431,North America,High School,N,N,216,1999,South,110160.2,Year,Y,Denied
11432,Asia,Master's,N,N,864,1938,Midwest,86027.83,Year,Y,Certified
11433,Asia,High School,Y,N,1616,1980,Midwest,45737.12,Year,Y,Denied
11434,Asia,Doctorate,Y,N,587,2005,South,129094.64,Year,Y,Certified
11435,Asia,Master's,N,Y,2456,2006,South,60876.93,Year,Y,Certified
11436,Asia,Master's,Y,N,2840,2012,Midwest,54359.19,Year,Y,Certified
11437,Europe,High School,Y,N,511,1990,West,35831.63,Year,Y,Denied
11438,Asia,Bachelor's,N,Y,2090,2011,South,109495.97,Year,Y,Certified
11439,Asia,Master's,Y,N,2893,2007,Northeast,79006.3,Year,Y,Certified
11440,Africa,Master's,Y,N,1213,1998,West,40071.91,Year,Y,Certified
11441,Asia,Master's,Y,N,1297,2008,South,147447.95,Year,Y,Certified
11442,Europe,Doctorate,Y,N,3381,1997,West,92923.02,Year,Y,Certified
11443,Africa,Bachelor's,N,Y,2489,1998,Northeast,23166.97,Year,Y,Denied
11444,Asia,High School,N,N,2121,1838,South,113239.94,Year,Y,Denied
11445,Asia,Bachelor's,N,N,1357,1984,Northeast,839.9962,Hour,Y,Denied
11446,Asia,Master's,N,N,2635,1963,Northeast,126258.45,Year,Y,Denied
11447,Asia,Bachelor's,N,Y,3578,2013,South,83708.98,Year,Y,Certified
11448,North America,Doctorate,Y,N,4918,1971,West,4655.69,Year,Y,Certified
11449,North America,Master's,Y,N,5735,2003,West,861.22,Year,N,Denied
11450,Asia,Master's,N,N,327,2003,South,88255.78,Year,Y,Denied
11451,Asia,Master's,Y,N,145671,1977,Northeast,38734.3,Year,Y,Certified
11452,Europe,Doctorate,Y,N,1503,1887,Northeast,99964.36,Year,Y,Certified
11453,Asia,High School,Y,N,454,1990,West,24356.17,Year,Y,Denied
11454,Asia,Bachelor's,N,Y,420,1948,South,90866.89,Year,Y,Certified
11455,Asia,Bachelor's,N,N,4138,1990,West,104054.92,Year,Y,Certified
11456,South America,Bachelor's,N,N,418,1997,West,621.3853,Hour,Y,Denied
11457,Asia,Bachelor's,Y,N,6272,1975,Northeast,125311.45,Year,Y,Certified
11458,Asia,Bachelor's,Y,Y,2425,1972,South,157482.58,Year,Y,Certified
11459,Europe,Master's,Y,N,4395,2005,Northeast,35424.19,Year,Y,Certified
11460,Europe,Bachelor's,N,N,1000,1998,West,49434.03,Year,Y,Certified
11461,Asia,Bachelor's,N,N,82,2001,West,61386.2,Year,Y,Certified
11462,Asia,High School,Y,Y,3755,2011,Northeast,72124.54,Year,Y,Denied
11463,Asia,Doctorate,N,Y,1405,2010,South,110302.99,Year,Y,Certified
11464,Africa,Master's,N,N,2827,1997,Northeast,127564.06,Year,Y,Certified
11465,Asia,High School,Y,N,1242,2005,Midwest,42543.51,Year,Y,Denied
11466,North America,Master's,Y,N,1945,2002,Northeast,516.5716,Hour,Y,Denied
11467,North America,Bachelor's,N,N,3308,1978,West,39473.02,Year,Y,Denied
